title,author,description,genre
Lost in space,Judy Katschke,"Ten-year-old Will Robinson and his family leave Earth to be colonists on the planet Alpha Prime, only to become lost in space.",science_fiction
Collidescope,Grace Chetwin,"When his spaceship crashes to earth, a highly advanced alien interferes with the lives of two teenagers living on the island of Manhattan during different centuries.",science_fiction
Cyberstorm,Gloria Skurzynski,"In 2015, when Darcy Kane moves to another part of town, she discovers that the Animal Control Division is trying to take her dog away and that the most obvious escape is into her neighbor's Virtual Reality Rent-a-Memory machine.",science_fiction
Godzilla,Stephen Molstad,"Nuclear scientist Nick Tatopolous is pitted against the infamous mutated monster Godzilla, who returns from his Pacific atoll to wreak havoc on Manhattan",science_fiction
Mad scientist,Joseph Rosenbloom,"A collection of riddles, jokes, and tongue twisters featuring scientists, doctors, robots, computers, space creatures, and other scientific and science fiction phenomena.",science_fiction
The first journey,Katherine A. Applegate,"In a ""choose your own adventure"" story, the reader can decide what he or she would do if given the chance to become an Animorph, join Jake and the crew, and battle the Yeerks.

In a ""choose your own adventure"" story, the reader can decide what he or she would do if given the chance to become an Animorph, join Jake and the crew, and battle the Yeerks.",science_fiction
The empire strikes back,J. J. Gardner,The further adventures of Luke Skywalker and his friends in their continuing battle against Darth Vader and the evil side of the Force.,science_fiction
The exposed,Katherine A. Applegate,"The Animorphs must use a giant squid morph to rescue their android friends the Chee, who are stuck in a deep trench on the ocean floor, and they have to get there before Visser Three does.",science_fiction
"Solution, escape",Margaret C. Cooper,"In the 21st century, 13-year-old Stefan is sent to a scientific research station where his movements are closely monitored. He discovers he is a clone, destined to be part of a fanatical scheme to control the government.",science_fiction
"Code name, Clone",Margaret C. Cooper,"In the future, cloned brothers Evonn and Stefan escape from behind the Iron Curtain to search for their father in the United States.",science_fiction
Star Rangers and the spy,Jean F. Blashfield,"As a young Star Ranger chasing the thief of an experimental spaceship, the reader makes decisions controlling a series of adventures in outer space.",science_fiction
Stowaways,Brad Strickland,"Jake and Nog sneak aboard a shuttle piloted by Dr. Bashir, only to find themselves having to rescue the doctor from a camp of ruthless Bajoran assassins called the Turnaways.",science_fiction
Dragon's plunder,Brad Strickland,"Having been kidnapped by former pirates because of his ability to whistle up the wind, fifteen-year-old Jamie agrees to help their leader, a living corpse, find the dragon of Windrose Island.",science_fiction
Round trip space ship.,Louis Slobodkin,A youngster tells his grandmother he is on a two week camping trip when actually he is with a friend from outer space.,science_fiction
The space ship in the park.,Louis Slobodkin,Two boys blast off in a space ship disguised as an ice cream cart to help their friend from the planet Martinea search for a new source of Secret Power Z.,science_fiction
"Me, myself, and I",Jane Louise Curry,"A Sixteen-year-old Progidy uses his mentor's invention to go into the past to exorcise his unreturned love for a beautiful girl, and discovers a mystery involving another of the professor's inventions.",science_fiction
The mind trap,G. Clifton Wisler,Scott's identity as a telepathic alien from another planet may be exposed when he's imprisoned in a research institute for psychic children run by a mysterious doctor.,science_fiction
Journey to Terezor,Frank Asch,"During a devastating flood, Matt and his parents are transported to a mysterious planet inhabited by other misplaced earthlings and ruled by robots where Matt teams up with two young geniuses in an effort to escape back to Earth.",science_fiction
The reality bug,D. J. MacHale,"In his ongoing battle to save Earth and its parallel worlds from the demon Saint Dane, fifteen-year-old Bobby Pendragon travels to Veelox, a world whose inhabitants have abandoned their real lives in favor of virtual reality.",science_fiction
The case of the semi-human beans,Jane Watson,"Two boys' observation of some beans which seem almost human lead them into some near-fatal adventures, experiences with a spacecraft, and unsettling interviews with Air Force investigators of UFO's.",science_fiction
Space Dog Jack and the haunted spaceship,Richard Ford,"On Halloween Space Dog Jack comes to the aid of his friend Earth Dog Bob, who is being menaced by a Blob from outer space.",science_fiction
Future fright ; tales of high-tech terror,Don L. Wulffson,A collection of stories featuring time travel and other forms of high technology.,science_fiction
Plan et of terror,Don L. Wulffson,The reader's choices determine the outcome of a young person's nightmare which requires that he either escape from danger or fight the Molers who conquered earth in the War of 2051.,science_fiction
Michael Crichton,Nathan Aaseng,"Profiles the life of Michael Crichton, revealing how his childhood interests helped him to become a best-selling author of technothriller books and films, as well as creator of the television series, ER.",science_fiction
Rocket rescue,D. S. Halacy,"Despite assignment of one twin to the isolated and dull Rocket Rescue unit while his brother goes to the excitement of space duty, an opportunity arises in which both can exercise their unorthodox extrasensory communication powers.",science_fiction
My stepfather shrank!,Barbara Dillon,Nine-year-old Mallory discovers that her new stepfather has been shrunk accidentally and tries to return him to normal size before her mother gets home.,science_fiction
"Ned Feldman, space pirate",Daniel Manus Pinkwater,"One day when Ned's parents are out, he meets Captain Lumpy Lugo, a space pirate who comes from the galaxy Foon-ping-baba, and they spend the afternoon travelling through outer space.",science_fiction
Adventures of a cat-whiskered girl,Daniel Manus Pinkwater,"Big Audrey, who has cat-like whiskers, and her telephathic friend Molly set out on a journey to find out why flying saucers are landing behind the old stone barn in Poughkeepsie, New York, and, more importantly, to determine whether another cat-whiskered girl really exists.",science_fiction
Space games,David Orme,"On board The Searcher, travelling through space, Todd enlists the help of the ship's captain to create a soccer field in one of the unused cargo holds so he and the other soccer fans can have interplanetary matches.",science_fiction
Animorphs: The capture / # 6.,Katherine A. Applegate,"Jake, Rachel, Tobias, Cassie, and Marco find the Yeerks' new base but they get caught, and Jake may become a human-Contoller.",science_fiction
Alien encounter,Pamela F. Service,"Alien agent Zack travels to Roswell, New Mexico, to search for an alien boy who has stolen a spaceship in order to find his missing father who crashed near Roswell in 1947.",science_fiction
Dark parties,Sara Grant,"Sixteen-year-old Neva, born and raised under the electrified Protectosphere that was built when civilization collapsed in violent warfare, puts her friends, family, and life at risk when she tries to find out if their world is built on a complex series of lies and deceptions.",science_fiction
The littlest Agent,Alex De Campi,"Left behind when the Agents leave Space City to defend a parallel world from Queen Misery and her Commissars, tiny fourth-grader Boo, who has just completed her training, has only her feline companion to help her protect their home world from devious enemies.",science_fiction
The children of the sky,Vernor Vinge,"""Ten years have passed on Tines World, where Ravna Bergnsdot and a number of human children ended up after a disaster that nearly obliterated humankind throughout the galaxy. Ravna and the pack animals for which the planet is named have survived a war, and Ravna has saved more than one hundred children who were in cold-sleep aboard the vessel that brought them. While there is peace among the Tines, there are those among them--and among the humans--who seek power...and no matter the cost, these malcontents are determined to overturn the fledgling civilization that has taken root since the humans landed. On a world of fascinating wonders and terrifying dangers, Vernor Vinge has created a powerful novel of adventure and discovery that will entrance the many readers of A Fire Upon the Deep. Filled with the inventiveness, excitement, and human drama that have become hallmarks of his work, this new novel is sure to become another great milestone in Vinge's already stellar career. ""--",science_fiction
Tokyo mew mew a la mode.,Reiko Yoshida,"Someone is releasing secret subliminal messages about the Mews through the television and the Internet. The messages, such as ""Down with the Mew Mew"" and ""Hate the Mews!,"" are working everyone into a Mew-hating frenzy--even Mew Berry's crush!",science_fiction
The games,Ted Kosmatka,"""This stunning first novel from Nebula Award and Theodore Sturgeon Memorial Award finalist Ted Kosmatka is a riveting tale of science cut loose from ethics. Set in an amoral future where genetically engineered monstrosities fight each other to the death in an Olympic event, The Games envisions a harrowing world that may arrive sooner than you think.  Silas Williams is the brilliant geneticist in charge of preparing the U.S. entry into the Olympic Gladiator competition, an internationally sanctioned bloodsport with only one rule: no human DNA is permitted in the design of the entrants. Silas lives and breathes genetics; his designs have led the United States to the gold in every previous event. But the other countries are catching up. Now, desperate for an edge in the upcoming Games, Silas's boss engages an experimental supercomputer to design the genetic code for a gladiator that cannot be beaten.  The result is a highly specialized killing machine, its genome never before seen on earth. Not even Silas, with all his genius and experience, can understand the horror he had a hand in making. And no one, he fears, can anticipate the consequences of entrusting the act of creation to a computer's cold logic.  Now Silas races to understand what the computer has wrought, aided by a beautiful xenobiologist, Vidonia Joao. Yet as the fast-growing gladiator demonstrates preternatural strength, speed, and--most disquietingly--intelligence, Silas and Vidonia find their scientific curiosity giving way to a most unexpected emotion: sheer terror""--",science_fiction
Boom!,Mark Haddon,"When Jim and Charlie overhear two of their teachers talking in a secret language and the two friends set out to solve the mystery, they do not expect the dire consequences of their actions.",science_fiction
The moon bandits,Scott Sonneborn,"A team of Xenoformers from Galaxy X are stealing the Moon and causing havoc on Earth, and while Superman tries to stop the aliens, he has to depend on Lex Luthor to defend Metropolis from massive tidal waves--but Lex has his own nefarious plans.",science_fiction
Rebel heart,Moira Young,"After rescuing her twin brother from the Tonton, Saba experiences disturbing telepathic visions while being hunted by a cunning enemy.",science_fiction
"Star Trek, first contact",Jane B. Mason,"Captain Picard and the crew of the Enterprise battle against the Borg, an alien race of half-human, half-machine drones who want to control every species in the universe.",science_fiction
Captain Vorpatril's alliance,Lois McMaster Bujold,"""Book Fourteen in the best-selling Vorkosigan series. Captain Ivan Vorpatril is happy with his relatively uneventful bachelor's life of a staff officer to a Barrayaran admiral.  Ivan, cousin to Imperial troubleshooter Miles Vorkosigan, is not far down the hereditary list for the emperorship.  Thankfully, new heirs have directed that headache elsewhere, leaving Ivan to enjoy his life on Komarr, far from the Byzantine court politics of his home system.  But when an old friend in Barrayaran intelligence asks Ivan to protect an attractive young woman who may be on the hit list of a criminal syndicate, Ivan's chivalrous nature takes over.  It seems danger and adventure have once more found Captain Vorpatril. Tej Arqua and her half-sister and servant Rish are fleeing the violent overthrow of their clan on free-for-all planet Jackson's Whole.  Now it seems Tej may possess a hidden secret of which even she may not be aware.  It's a secret that could corrupt the heart of a highly regarded Barayarran family and provide the final advantage for the thugs who seek to overthrow Tej's homeworld.  But none of Tej's formidable adversaries have counted on Ivan Vorpatril.  For behind Ivan's fa&Ccedil;ade of wry and self-effacing humor lies a true and cunning protector who will never leave a distressed lady in the lurch-up to and including making the ultimate sacrifice to keep her from harm: the treasured and hard-won freedom from his own fate as a scion of Barrayar.  About Lois McMaster Bujold's Vorkosigan Saga:  ""Fans have been clamoring for Hugo winner Bujold to pen a new Vorkosigan Saga novel. her deft and absorbing writing easily corrals the complex plot.""--Publishers Weekly on Cryoburn  ""Bujold mixes quirky humor with action [and] superb character development...[E]normously satisfying.""--Publishers Weekly. ""One of sf's outstanding talents. an outstanding series.""--Booklist "". an intelligent, well-crafted and thoroughly satisfying blend of adventure, sociopolitical commentary, scientific experiments, and occasional perils. with that extra spicing of romance.""--Locus About Vorkosigan series entry Diplomatic Immunity: ""Bujold is adept at world-building and provides a witty, character-centered plot, full of exquisite grace notes. fans will be thoroughly gripped and likely to finish the book in a single sitting.""--Publishers Weekly""--

""Captain Ivan Vorpatril is happy with his relatively uneventful bachelor's life of a staff officer to a Barrayaran Admiral. Ivan, cousin to Imperial troubleshooter Miles Vorkosigan, is not far down the hereditary list for the emperorship. Thankfully, new heirs have directed that headache elsewhere leaving Ivan to enjoy like on Komarr. But when and old friend in Barrayaran intelligence asks Ivan to protect an attractive young woman Tej Arqua his chivalrous nature takes over and danger finds him once again. Tej and her half-sister Rish are fleeing the violent overthrow of their clan but it seems Tej may possess a hidden secret that could corrupt the heart of a highly regarded Barrayarn family. But none of Tej's formidable adversaries have counted on Ivan Vorpatril. Behind his facade of wry and self effacing humor lies a true and cunning protector who will never leave a distressed lady in the lurch""--",science_fiction
The Princess of Neptune,Quentin Dodd,Middle-schooler Theora Theremin and her brother Verbert find themselves whisked from the shores of hometown Lake Philodendron to an intergalactic beauty contest on Neptune.,science_fiction
Beatnik rutabagas from beyond the stars,Quentin Dodd,"Whisked away on space ships to serve as generals of opposing armies, best friends and sci-fi movie fans Walter Nutria and Yselle Meridian soon convince the aliens they must work together against the real menaces, Space Mice from Galaxy Four and their leader, The Boss.",science_fiction
What distant deeps,David Drake,"When Captain Daniel Leary and spy Adele Mundy try to take a vacation on the fringes of human space, they don't have long to rest, as they soon must defend galactic civilization from traitors, giant reptiles, and barbarian pirates.",science_fiction
The night I saved the universe,Joel Klein,"Space cops don't really exist...do they? Mickey didn't think so - in fact, he had never even heard of the Galactic Police Department. But then he meets Cortis - a giant, hairy alien cop who offers to take him on the ride of his life on his cool patrol spaceship! Together, the two have amazing adventures...",science_fiction
Cyborg superman,J. E. Bright,"When an unusual solar flare damages his space shuttle and causes astronaut Hank Henshaw and his crew--including his wife--to mutate, he blames Superman and as his surviving consciousness learns to fuse with technology he vows revenge.",science_fiction
Renegade,J. A. Souders,"Trained since the age of three to be Daughter of the People, sixteen-year-old Evelyn Winters believes her underwater world of Elysium is perfect until Gavin Hunter, a surface Dweller, stumbles into Elysium and she realizes that everything she knows is a lie perpetrated by ""Mother"".",science_fiction
Campfire stories,Susan Meddaugh,"""When Martha, Helen, T.D., Alice, Truman, and Skits pitch a tent in Helen's back yard for the night, they expect to have a super-fun sleepover. But it doesn't take long for the s'mores (hold the chocolate, extra marshmallow) and the hand shadow puppet ideas to run out. What's this bored group of kids to do on a dark, quiet, summer night? Tell creepy campfire stories, of course!""--",science_fiction
Rise,Anna Carey,"""In the stunning conclusion to Anna Carey's thrilling dystopian trilogy, Eve has the fate of The New America in her hands""--",science_fiction
The uprising,Lisa M. Stasse,"""Alenna Shawcross fights to stay alive after she discovers the secrets of the wheel where she has been exiled""--",science_fiction
Revolution 19,Gregg Rosenblum,"Twenty years after robots designed to fight wars abandoned the battlefields and turned their weapons against humans, siblings Nick, Kevin, and Cass must risk everything when the wilderness community where they have spent their lives in hiding is discovered by the bots.",science_fiction
Planet of the robots,Scott Shirley,A young spare explorer who is marooned on Planet Zare and surrounded by enemy robots programmed to eliminate him is befriended by the daughter of the planet's evil ruler.,science_fiction
The steam mole,Dave Freer,"In an alternate Australia dominated by coal power and the British empire, Clara and Tim arrive in the rebel republic of Westralia, where people are nocturnal and live underground, burrowing with machines called steam moles.",science_fiction
The resistance,Gemma Malley,"In a future England where young people, or ""Surpluses,"" are heavily regulated and everyone takes a drug called Longevity, a member of the Underground infiltrates the Pincent Pharma manufacturing plant, and uncovers horrific acts being committed in an attempt to create eternal youth.",science_fiction
Lord of the stars,Jean Sutton,Danny grew up alone on an alien planet guided by the telepathic thoughts of unseen Zandro. Finally he makes mental contact with humans on another world and learns he is being used in a plot to conquer the universe.,science_fiction
The boy who had the power,Jean Sutton,A boy who has lost his memory is a herder on a remote planet until a mysterious man gives him a beautiful stone to help him remember.,science_fiction
There was this man running,N. L. Ray,"A storekeeper's family becomes unwittingly involved with a mysterious, menacing being from outer space.",science_fiction
Han Solo's rescue,Kay Carroll,"Luke Skywalker and his friends fight to free Han Solo from the clutches of the loathsome Jabba the Hutt, as depicted in text and pop-up pictures.",science_fiction
Transformer,M. A. Foster,"The Morphodite was a genetically constructed genius who had turned the tables on the police state that had created it. Settled down to a man' quiet life, he contemplated a lifetime of doing good in a liberated world…until a vengeance squad wiped out that hope.

Now, again utilizing that unique talent, the young woman who was now the Morphodite, realized that the job could not be finished until the enemies of that planet’s society were tracked to their interstellar lair and blasted.

Across the planet she went and finally into outer space in a city-sized starship to a final showdown somewhere between the worlds.

One of M. A. Foster's finest novels to stand alongside THE GAMEPLAYERS OF ZAN and THE WARRIORS OF DAWN.",science_fiction
Portal to E'ewere,Irma Walker,"In a crowded uncompromising future world, a girl seeks a visionary place of space and beauty, and just when she seems to succeed, she is confronted with a terrible choice.",science_fiction
The assault,Brian Falkner,"In the year 2030, six teens who have been modified to look like the aliens who are battling for control of Earth go behind enemy lines and discover a shocking, secret alien project.",science_fiction
The wizards of Wyrd World,Pamela F. Service,"When aspiring author Josh Higgins learns that his favorite author is coming to town, he and his sister Maggie convince fantasy writer P.L. Cuthbertson to take them to the magical medieval land of Wyrd World, where they find real trouble.",science_fiction
Day of the assassins,Johnny O'Brien,"Fifteen-year-old Jack is sent to 1914 Europe as a pawn in the battle between his long-lost father, who has built a time machine, and a secret network of scientists who want to prevent him from trying to use it to change history for the better. Includes historical notes.",science_fiction
Space pirates,David Orme,The crew of the Nightstar is on a cargo mission in deep space when their ship is attacked by space pirates.,science_fiction
Jimmy on ice,Adam Beechen,"When the summer sun becomes too hot for Jimmy and his friends, Jimmy the boy genius makes it snow in Retroville but then finds there is a new problem to solve.",science_fiction
No more Mr. Smart Guy,Adam Beechen,"Tired of being a boy genius, Jimmy hooks himself up to his Brain-Drain 8000 machine, but his friends try to reverse the process when they see a meteor headed toward Retroville.",science_fiction
The time machine,Chris Sasaki,"An abridged version of the science fiction novel about the scientist who invents a time machine and uses it to travel to the year 802,701 A.D., where he discovers the childlike Eloi and the hideous underground Morlocks.",science_fiction
Grow up!,"Steinberg, David","Doctor Docter's Energy Replenerator turns Daniel (aka Loud Boy) and his superhero friends into prune-eating, cane-wielding old people.",science_fiction
George's cosmic treasure hunt,Lucy Hawking,"George is heartbroken when his neighbor Annie and her space-scientist father move to Florida, but when Annie sends him a secret message telling him she has been contacted by aliens with a terrible warning, he joins her in a galaxy-wide search for answers. Includes scientific essays on space travel.",science_fiction
Bored Bill,Liz Pichon,"Bill, a very bored dog who resists taking part in his busy owner's many activities, has a major attitude change after his unexpected visit to a planet populated by bored aliens.",science_fiction
Mac attack!,"Steinberg, David","Loud Boy and his friends call upon their superpowers, which consist mainly of atrocious behavior, to confront the cafeteria lady, who is working with the evil Kid-Rid Industries to brainwash children into being polite.",science_fiction
The saddest little robot,Brian Gage,"On an asteroid at the end of the universe, a curious Drudgebot dares to question Father Screen and discovers that there is light and life beyond Dome City.",science_fiction
Rivers of fire,Patrick Carman,"After Atherton's three-tiered world collapses, ending the geographical division of the social classes, Edgar, Samuel, and Isabel try to restore the flow of water and uncover the world's mysterious origins in the process.",science_fiction
The shadow at evening,Chris Walley,"In the year 13851, on the planet Farholme, Merral discovers evil beginning to encroach into his beloved countryside, where for centuries it has been absent.",science_fiction
Silver City,Cliff McNish,The children drawn to Coldharbour prepare to battle a terrifying force headed their way.,science_fiction
The big flush,Trina Robbins,"Ousted from Stepford Prep, Megan attends a prospective students event with friend Raf and talking dog Bradley at Pine Lake Academy, where Raf is possessed by the spirit of a teenaged girl from the 1910s after drinking from an old water fountain.",science_fiction
Paradise City,J. B. Stephens,"Having survived the Strain 7 virus that killed much of the human race, six teenagers settle in Novo Mundum, a hidden city where people are reviving science and the arts, and search for a traitor who threatens to betray their community.",science_fiction
Beware the Bohrok,Cathy Hapka,"""After a long and difficult journey, the Toa have finally embraced their destiny.  Despite their differences, they have joined together as a mighty force for good.  But will their combined powers be enough to take on Makuta's minions?""",science_fiction
Makuta's revenge,Cathy Hapka,"""The Toa have triumphed over the Bohrok hordes.  They have confronted the mighty Makuta.  It is a time for great joy and celebration.  And yet...""",science_fiction
Pharaoh's tomb,Sigmund Brouwer,"In a future world divided into the privileged Technocrats and the poor Plebots, Mok is taken from the slums of Old Newyork by the Committee to be part of an experiment in which the first test of his faith comes in ancient Egypt.",science_fiction
Partials,Dan Wells,"""In a post-apocalyptic eastern seaboard ravaged by disease and war with a manmade race of people called Partials, the chance at a future rests in the hands of Kira Walker, a sixteen-year-old medic in training""--",science_fiction
Truesight,David Stahler,"In a distant frontier world, thirteen-year-old Jacob is uncertain of his future in a community that considers blindness a virtue and ""Seers"" as aberrations.",science_fiction
Eggs in one basket,Kathy Mackel,"With the help of two middle school classmates and a bear-like talking ""dog"" from the planet Sirius, seventh-grader Scott Schreiber discovers that he can be a hero in other ways than on the football field.",science_fiction
Camouflage,Joe W. Haldeman,"An unidentified artifact, found seven miles below the surface of the sea, stumps the scientists examining it but calls out to the two immortal creatures who have wandered the Earth for centuries, never crossing paths until now.",science_fiction
Out there.,Adrien Stoutenburg,"Five children and their nature-loving ""aunt"" leave the domed city to search for signs of new life in the surrounding territory made barren by the disasters of misapplied technology.",science_fiction
The clockwork key,Kristin Bailey,A orphaned sixteen-year-old servant in Victorian England finds love while unraveling the secrets of a mysterious society of inventors and their most dangerous creation.,science_fiction
Let me off this spaceship!,Gery Greer,"When Tod and Billy are kidnapped by creatures from outer space, they try to make as much trouble as they can on board ship so that the spaceship captain will take them back to Earth.",science_fiction
Star Wars.,Marc A. Cerasini,"Nineteen-year-old Anakin Skywalker, apprentice to Obi-Wan Kenobi, remembers some of his past adventures in which he raced swoop bikes, built androids, and found crystals to complete his lightsaber.",science_fiction
Starbright and the Dream Eater,Joy Cowley,"As the powerful alien life force called the Dream Eater begins to spread destruction over the Earth, twelve-year-old Starbright discovers that she is the one destined to stop it.",science_fiction
Transhuman,Ben Bova,"""Luke Abramson, a brilliant cellular biologist who is battling lung cancer, has one joy in life, his ten-year-old granddaughter, Angela. When he learns that Angela has an inoperable brain tumor and is given less than six months to live, Abramson wants to try a new enzyme, Mortality Factor 4 (MORF4), that he believes will kill Angela's tumor. However, the hospital bureaucracy won't let him do it because MORF4 has not yet been approved by the FDA. Knowing that Angela will die before he can get approval of the treatment, Abramson abducts Angela from the hospital with plans to take her to a private research laboratory in Oregon. Luke realizes he's too old and decrepit to flee across the country with his sick granddaughter, chased by the FBI. So he injects himself with a genetic factor that will stimulate his body's production of telomerase, an enzyme that has successfully reversed aging in animal tests. As the chase weaves across the country from one research facility to another, Luke begins to grow physically younger, stronger. He looks and feels the way he did thirty or forty years ago. Yet his lung cancer is not abating; if anything the tumors are growing faster. And Angela is dying""--",science_fiction
Medical emergency,Harriette Sheffer Abels,The commander of the EM 88 is stricken with what may be the first case of smallpox in several centuries.,science_fiction
Noah and the space ark,Laura Cecil,"Many years in the future when the Earth has become too polluted to support life, Noah and his family build a space ark and take the animals and plants that are still surviving to search for a new home.",science_fiction
The ire of Iron Claw,K. R. Hamilton,"""The daring and loyal dachshund Noodles, the boy inventor Wally Kennewickett, and his scientific genius family and staff of automatons join forces with Nikola Tesla to defeat sky pirates, cross Europe in a giant mechanical spider, and defy the evil Mesmers""--",science_fiction
The Mesmer menace,K. R. Hamilton,"Daring dachshund Noodles narrates as evil Mesmers bent on world domination arrive at the Amazing Automated Inn, where eleven-year-old inventor Wally Kennewickett, aided by Noodles and the inn's automatons, tries to foil their plans.",science_fiction
Back to school,Sunita Apte,"""Junior astronaut Rae Chen returns from her first space mission. She's excited to be home. But something is strange back on Earth.""--",science_fiction
Push,Eve Silver,"""Miki Jones continues to fight the aiens threatening to invade Earth, but begins to doubt the intentions of the Committee who send teams on these missions""--",science_fiction
Bubble World,Carol Snow,"Freesias life is perfect. She lives on the beautiful tropical island of Agalinas, surrounded by idyllic weather, fancy dress shops, and peacocks who sing her favorite song to wake her up in the morning. She has so many outfits she could wear a different one every day for a year and not run out. Lately things on the island may have been a bit flippy, sudden blackouts, students disappearing, even Freesia's reflection looking slightly off. But in Freesia's experience, it's better not to think about things like that too much.",science_fiction
Wild Jack,John Christopher,"Clive Anderson is falsely accused of questioning the status quo and must escape from a twenty-third century ""retraining school.""",science_fiction
Pig City,Jonathan Mary-Todd,"When snow drives Malik, Beckley, Emma, and Wendell into Des Moines, Iowa, they are taken in by a Coalition that is caught between an anti-electricity, cult-like group and brutes who raise pigs to trade, feeding them on children.",science_fiction
Skyship Academy,Nick James,"In 2095 when a fifteen-year-old slacker discovers that he has the power to control Pearls, fragments of space debris that are a dying Earth's most important energy source, government forces work to capture him.",science_fiction
Into the wilderness,Mandy Hager,"Escaping the tyranny of the Apostles of The Lamb cult on the post-apocalyptic island of Onewere, Maryam and her three companions search desperately for a welcoming island, as romance blossoms for Maryam and Joseph.",science_fiction
You'll like it here (everybody does),"White, Ruth","Although Meggie Blue seems to be an average sixth-grader she is abnormally frightened when residents of her small, North Carolina town become fixated on aliens, and soon she and her family are forced to flee, making it clear that all is not as it seems.",science_fiction
The midnight sun,Mark Kneece,"New York City has become almost uninhabitable when continuous sunlight causes unbearable heat, rationing of water and electricity, and swarms of people leaving, looking for cooler weather further north.",science_fiction
The boy at the end of the world,Greg Van Eekhout,"Born half-grown in a world that is being destroyed, Fisher has instinctive knowledge of many things, including that he must avoid the robot that knows his name.",science_fiction
The hideaway,Rusty Hallock,"In their plot to conquer Earth, the evil GoBots place an artificial black hole over the United States.",science_fiction
The hyperlink,Joel Naftali,"Thirteen-year-old Doug continues his blog posts about the ongoing battle against Dr. Roach and VIRUS when the CyberSkunks get trapped in cyberspace, high school ""math geeks"" go missing, and Auntie M crashes, leaving Doug and his friend Jamie to try to save them all.",science_fiction
Desolation Angels,James Axler,"A hundred years after the nukecaust, the tortured landscape of postapocalyptic America offers a brutal fight for survival. Yet tech secrets lie hidden, useful to those brave and strong enough to belive that hope can carry them toward ever-elusive peace.",science_fiction
Feast,Merrie Destefano,"Madeline MacFaddin has returned to Ticonderoga Falls, where she spent blissful childhood summers, when her adult life is falling apart. But Maddie doesn't remember the dangers in the dense surrounding forest or know of the mountain legend that terrifies the area's residents. She has no recollection of Ash, the strange and magnificent creature who once saved her life, even though his kindred's destiny is to prey upon humanity.",science_fiction
"Star Wars, the clone wars",John Ostrander,"Duty takes Padawan Ahsoka Tano, her master Anakin Skywalker, and Obi-Wan Kenobi to the gas planet Taloraan, only it's not the kind of duty Ahsoko enjoys. They've come to negotiate a treaty with the technology-embracing Defrandi, which promises many long diplomatic discussions. But when Ahsoko alone uncovers a Separatist plot, she must seek assistance from the primitive, beast-riding Wind Raiders to denounce the Defrandi and save the lives of Anakin, Obi-Wan and herself.",science_fiction
The Video Kids,Jon Buller,"The Machine that Jerome and Curtis have made in the garage causes them to be sucked into their new video game, where they try to perform impossible tasks while avoiding the Four Evil Frogs.",science_fiction
Stuck on Earth,Marilyn Sadler,"Zenon and Nebula, of Space Station 9, need help from an Earth boy when they sneak away from a class field trip to enter Zenon's Galaxy Glue in the 34th Intergalactic Science Fair in Cleveland.",science_fiction
The trouble with fun,Marilyn Sadler,"A twenty-first century girl living on a space station agrees to entertain the daughter of an important Earth scientist, but the visitor's idea of fun could mean big trouble for Zenon.",science_fiction
Time snatchers,Richard Ungar,"Fourteen-year-old orphan Caleb is a ""time snatcher"" who travels through history stealing valuable artifacts from the past for high-paying clients of his ruthless guardian.",science_fiction
Guardians,Susan Kim,"""In a world where teens die at nineteen and disease is rampant, Esther and her allies have created a haven within the District, the gleaming skyscraper that has become the center of all commerce; but as factions form and dangerous power emerges, the ultimate darkness is born from greed and Esther must save the citizens from themselves""--",science_fiction
Wasteland,Susan Kim,"In a post-apocalyptic world where everyone dies at age nineteen and rainwater contains a killer virus, loners Esther and Eli band together with a group of mutant, hermaphroditic outsiders to fight a corrupt ruler and save the town of Prin.",science_fiction
The legacy,Gemma Malley,"When a Pincent Pharma truck is ambushed by the Underground, revealing not the expected supply of drugs but corpses, it becomes clear that the Longevity prescription for eternal youth is failing to live up to its promises, and when the Underground is blamed for releasing a deadly virus, the truth finally comes out.",science_fiction
The prey,Tom Isbell,"""After the apocalyptic Omega, a group of orphaned teen boys learn of their dark fate and escape, joining forces with twin girls who have been imprisoned for the 'good of the republic.' In their plight for freedom, these young heroes must find the best in themselves to fight against the worst in their enemies""--",science_fiction
The worlds we make,Megan Crewe,"""In the conclusion to The Fallen World trilogy, Kaelyn and her friends must protect the cure they have found from deadly enemies while searching for a true safe haven""--",science_fiction
Earth & sky,Megan Crewe,"Seventeen-year-old Skylar has been haunted for as long as she can remember by fleeting yet powerful sensations that something is horribly wrong. But despite the visions of disaster that torment her, nothing ever happens, and Sky's beginning to think she's crazy. Then she meets a mysterious, otherworldly boy named Win and discovers the shocking truth her premonitions have tapped into: that our world no longer belongs to us. For thousands of years, life on Earth has been at the mercy of alien scientists who care nothing for humans and are using us as the unwitting subjects of their time-manipulating experiments. Win belongs to a rebel faction seeking to put a stop to it, and he needs Skylar's help to save the world and keep the very fabric of reality together.",science_fiction
